category_id,description,count
aperitivos-tapas,b'Aperitivos y tapas',1180
arroces,b'Arroces',859
bebidas-y-cocktails,b'Bebidas y c\xc3\xb3cteles',620
carnes-y-aves,b'Carnes y aves',1453
cremas-caldos-sopas,"b'Cremas, caldos y sopas'",1825
dulces-y-reposteria,b'Dulces y reposter\xc3\xada',5204
ensaladas,b'Ensaladas',174
huevos-y-tarrinas,b'Huevos y tarrinas',1255
masas,b'Masas',1087
alimentacion-infantil,b'Papillas y alimentaci\xc3\xb3n infantil',232
pasta,b'Pasta',717
pescados-y-mariscos,b'Pescados y mariscos',823
potajes-legumbres,b'Potajes y legumbres',841
salsas-y-guarniciones,b'Salsas y guarniciones',1020
sorbetes-y-helados,b'Sorbetes y helados',258
verduras-y-hortalizas,b'Verduras y hortalizas',1261
aceites,b'Vinagretas y ali\xc3\xb1os',59
otras,N/A,N/A
funciones,N/A,N/A
